               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.049304,            0.032329,           0.0028266,             0.51641,             0.57873,             0.53256,             0.26155,            0.057364,            0.017965,           0.0050713,            0.009406,            0.009406,            0.009406
                 122,            0.048312,            0.031116,           0.0027837,             0.77785,             0.54229,             0.65045,             0.31588,            0.053446,            0.016378,           0.0048677,            0.009401,            0.009401,            0.009401
                 123,            0.047386,            0.032272,           0.0027543,             0.73461,             0.62802,             0.66272,             0.35173,            0.053023,             0.01649,           0.0057615,           0.0093961,           0.0093961,           0.0093961
                 124,            0.047897,            0.031516,           0.0029765,             0.87161,             0.64645,             0.71539,             0.37319,            0.050995,            0.016828,           0.0050041,           0.0093912,           0.0093912,           0.0093912
                 125,            0.048458,            0.031778,           0.0031533,             0.73284,             0.62651,             0.67779,             0.36269,            0.051505,            0.016697,           0.0075562,           0.0093862,           0.0093862,           0.0093862
                 126,             0.04824,            0.030321,           0.0029557,             0.78937,             0.61812,             0.65783,             0.34677,            0.051146,            0.016321,           0.0063457,           0.0093813,           0.0093813,           0.0093813
                 127,            0.047958,            0.031073,           0.0023929,             0.78947,              0.5995,             0.66049,             0.34927,            0.051503,            0.016965,           0.0064945,           0.0093763,           0.0093763,           0.0093763
                 128,            0.048639,            0.031694,           0.0029376,             0.69786,             0.60457,             0.63218,             0.29833,            0.053542,            0.017395,           0.0066132,           0.0093714,           0.0093714,           0.0093714
                 129,             0.04735,            0.031204,           0.0029315,             0.80903,             0.61985,             0.67361,             0.32205,             0.05824,            0.016757,            0.008448,           0.0093664,           0.0093664,           0.0093664
                 130,            0.047643,             0.03149,           0.0026466,             0.90949,             0.58487,             0.69422,             0.35256,            0.053286,            0.016104,            0.004228,           0.0093615,           0.0093615,           0.0093615
                 131,            0.045215,            0.029083,           0.0027135,             0.71535,             0.60183,             0.64238,             0.32116,            0.053874,            0.018196,           0.0072739,           0.0093565,           0.0093565,           0.0093565
                 132,            0.046454,            0.030965,           0.0028822,             0.80132,              0.6095,             0.67427,             0.34905,            0.051186,            0.017134,           0.0051178,           0.0093516,           0.0093516,           0.0093516
                 133,            0.048366,            0.033507,           0.0026749,             0.70823,             0.54896,             0.58663,             0.30217,            0.056286,            0.019597,           0.0067286,           0.0093466,           0.0093466,           0.0093466
